dimension_type,series_type,label,label_key,group_label,adds,removes,window_net,total_moves,early_avg_net,late_avg_net,momentum_delta,sample_apps
tag,raw-tag,Dinosaurs,dinosaurs,Other,0,1,-1,1,0.0000,0.0000,0.0000,BioMech Vendetta
tag,raw-tag,Diplomacy,diplomacy,Other,3,2,1,5,0.0000,0.1250,0.1250,"Under Protocol, Double Dealers, Crown Of Hispania"
tag,raw-tag,Dog,dog,Other,1,2,-1,3,0.0000,0.0000,0.0000,"MyDear.exe, Meat Market, Habitat Toxica"
tag,raw-tag,Dragons,dragons,Other,3,3,0,6,0.2500,-0.1250,-0.3750,"Indignum, Teddy's Haven - A Fantasy Inspired Shop Simulator, Tears of Adria"
tag,raw-tag,Drama,drama,Other,15,17,-2,32,-0.7500,0.3750,1.1250,"Darker: Chapter 1, Sanechek: Lost Coins, Subliminal"
tag,raw-tag,Driving,driving,Other,7,1,6,8,0.2500,0.1250,-0.1250,"Tank Havoc, Friendly Steps, SIRENS"
tag,raw-tag,Dungeon Crawler,dungeon crawler,Other,13,11,2,24,-0.1250,0.3750,0.5000,"Eternal Hunger, 封魔剑魂, 100FRIENDS"
tag,raw-tag,Dwarf,dwarf,Other,1,0,1,1,0.1250,0.0000,-0.1250,Goldrot
tag,raw-tag,Dynamic Narration,dynamic narration,Other,0,2,-2,2,-0.1250,-0.1250,0.0000,"Last Dawn: Helios, One Way Mirror: AI"
tag,raw-tag,Dystopian,dystopian,Other,4,9,-5,13,-0.2500,0.1250,0.3750,"Mad Metal, アニマロイドガール, Cheat Line"
tag,raw-tag,Early Access,early access,Lifecycle & Business Model,59,63,-4,122,-0.1250,-0.1250,0.0000,"Game Saloon Simulator, Ignarus, Jupiter"
tag,raw-tag,Economy,economy,Other,9,11,-2,20,-0.1250,0.0000,0.1250,"Canter Cove, Idle AI Factory, Market Moe"
tag,raw-tag,Education,education,Other,5,6,-1,11,-0.3750,0.2500,0.6250,"Chess Kingdom, With Me: Aquatic Time, MoonNight Shift"
tag,raw-tag,Electronic Music,electronic music,Other,2,1,1,3,0.0000,0.0000,0.0000,"Warm Inside, HYPERBEAT, Night Club Simulator: Party King"
tag,raw-tag,Elf,elf,Other,0,1,-1,1,-0.1250,0.0000,0.1250,Undead Tide: Light's Defense
tag,raw-tag,Emotional,emotional,Other,16,11,5,27,0.2500,-0.1250,-0.3750,"POJANGMACHA : Korean Street Food Management Simulator, Sanechek: Lost Coins, AIKO: AI Girlfriend 3D Life Sim"
tag,raw-tag,Epic,epic,Other,1,0,1,1,0.0000,0.0000,0.0000,成为皇帝！我的万亿美女星球帝国
tag,raw-tag,Episodic,episodic,Other,1,0,1,1,0.1250,0.0000,-0.1250,Unseen - Someone
tag,raw-tag,Escape Room,escape room,Other,2,1,1,3,0.0000,0.0000,0.0000,"Subliminal, The Failed, Scenic"
tag,raw-tag,eSports,esports,Other,3,4,-1,7,0.0000,-0.1250,-0.1250,"Tank Havoc, DODORI, Track Day: From Street to Circuit"
tag,raw-tag,Experience,experience,Other,1,0,1,1,0.1250,0.0000,-0.1250,Gridworld
tag,raw-tag,Experimental,experimental,Other,3,0,3,3,0.2500,0.0000,-0.2500,"Chaosfall, Biocybernetic Trap, Ringbound"
tag,raw-tag,Exploration,exploration,Adventure & Story,36,28,8,64,-0.1250,0.2500,0.3750,"Quack Hunters, The Posthumous Investigation, AIKO: AI Girlfriend 3D Life Sim"
tag,raw-tag,Extraction Shooter,extraction shooter,Other,1,0,1,1,0.0000,0.0000,0.0000,Madnessarum
tag,raw-tag,Faith,faith,Other,3,0,3,3,0.0000,0.1250,0.1250,"Conviction, 卜卦 / Divination, Foul Deeds of Iblis"
tag,raw-tag,Family Friendly,family friendly,Indie & Casual,22,19,3,41,0.1250,0.1250,0.0000,"Biped 2, Black Hole Fishing, OddFauna : Secret of the Terrabeast"
tag,raw-tag,Fantasy,fantasy,RPG & Fantasy,32,33,-1,65,-0.6250,0.6250,1.2500,"Bootstrap, Dread Admiral, Eternal Hunger"
tag,raw-tag,Farming,farming,Other,2,2,0,4,0.0000,-0.1250,-0.1250,"Rooftop Garden, Rune Factory 5, My Heaven's Dale"
tag,raw-tag,Farming Sim,farming sim,Other,4,2,2,6,-0.1250,0.0000,0.1250,"Black Hole Fishing, Rooftop Garden, Frog Island"
tag,raw-tag,Fast-Paced,fast-paced,Other,11,9,2,20,0.3750,0.1250,-0.2500,"Zigdig, Shape of Dreams, Indoor Baseball"
tag,raw-tag,Female Protagonist,female protagonist,Other,17,13,4,30,0.0000,-0.1250,-0.1250,"Darker: Chapter 1, AIKO: AI Girlfriend 3D Life Sim, Island of Giant Trees"
tag,raw-tag,Fighting,fighting,Other,2,0,2,2,0.1250,0.1250,0.0000,"Sim: Heavyweight Boxing Champion, Ninja Vs Bomb"
tag,raw-tag,First-Person,first-person,Other,21,17,4,38,-0.2500,0.1250,0.3750,"Before the Silence Claims: In Absentia, Drunkslop: Pub crawl COOP, Quack Hunters"
tag,raw-tag,Fishing,fishing,Other,2,2,0,4,0.0000,0.0000,0.0000,"Ferry Good Day, Isle of Food, Dogwood"
tag,raw-tag,Flight,flight,Other,0,4,-4,4,-0.2500,0.0000,0.2500,"Streets of Miami VR, UP TO THE SKY, The Wide Open Sky is Running out of Catfish"
tag,raw-tag,FMV,fmv,Other,0,1,-1,1,0.0000,0.0000,0.0000,Scientific project: Optic
